-3219,-2968
-2553,-2968
-2553,-2968
-2553,-2968
-2553,-2796
-1235,-2796
-1235,-2796
-1235,-2796
-1235,-1821
-113,-1821
-113,-1821
-113,-1821
-113,-856
148,-856
148,-856
148,-856
148,-289
-238,-289
-238,-289
-238,-289
-238,-19
-856,-19
-856,-19
-856,-19
-856,-224
-1707,-224
-1707,-224
-1707,-224
-1707,-1220
-2650,-1220
-2650,-1220
-2650,-1220
-2650,-2606
-2979,-2606
-2979,-2606
-2979,-2606
-2979,-3453
-2263,-3453
-2263,-3453
-2263,-3453
-2263,-3420
-1026,-3420
-1026,-3420
-1026,-3420
-1026,-2912
-18,-2912
-18,-2912
-18,-2912
-18,-2185
626,-2185
626,-2185
626,-2185
626,-1183
963,-1183
963,-1183
963,-1183
963,-286
664,-286
664,-286
664,-286
664,-245
-404,-245
-404,-245
-404,-245
-404,-1143
-1536,-1143
-1536,-1143
-1536,-1143
-1536,-2240
-1908,-2240
-1908,-2240
-1908,-2240
-1908,-2986
-1524,-2986
-1524,-2986
-1524,-2986
-1524,-3420
-828,-3420
-828,-3420
-828,-3420
-828,-3460
108,-3460
108,-3460
108,-3460
108,-2722
1256,-2722
1256,-2722
1256,-2722
1256,-1378
2003,-1378
2003,-1378
2003,-1378
2003,-327
1727,-327
1727,-327
1727,-327
1727,-135
717,-135
717,-135
717,-135
717,-529
-231,-529
-231,-529
-231,-529
-231,-1168
-825,-1168
-825,-1168
-825,-1168
-825,-2102
-1151,-2102
-1151,-2102
-1151,-2102
-1151,-3104
-942,-3104
-942,-3104
-942,-3104
-942,-3420
92,-3420
92,-3420
92,-3420
92,-2709
1443,-2709
1443,-2709
1443,-2709
1443,-1569
2197,-1569
2197,-1569
2197,-1569
2197,-681
2125,-681
2125,-681
2125,-681
2125,-105
1638,-105
1638,-105
1638,-105
1638,152
904,152
904,152
904,152
904,-297
-126,-297
-126,-297
-126,-297
-126,-1503
-974,-1503
-974,-1503
-974,-1503
-974,-2680
-897,-2680
-897,-2680
-897,-2680
-897,-3071
79,-3071
79,-3071
79,-3071
79,-2769
1189,-2769
1189,-2769
1189,-2769
1189,-2167
1983,-2167
1983,-2167
1983,-2167
1983,-1265
2519,-1265
2519,-1265
2519,-1265
2519,-146
2626,-146
2626,-146
2626,-146
2626,497
1910,497
1910,497
1910,497
1910,107
650,107
650,107
650,107
650,-925
-233,-925
-233,-925
-233,-925
-233,-1842
-273,-1842
-273,-1842
-273,-1842
-273,-2445
208,-2445
208,-2445
208,-2445
208,-2781
952,-2781
952,-2781
952,-2781
952,-2506
2035,-2506
2035,-2506
2035,-2506
2035,-1379
3138,-1379
3138,-1379
3138,-1379
3138,-11
3472,-11
3472,-11
3472,-11
3472,719
2798,719
2798,719
2798,719
2798,683
1771,683
1771,683
1771,683
